City,State,Status,State_Abbrv,County,County_w_Abbrv,School_District,Estimated_City_Total_Population,Estimated_City_Population_5-17,Estimated_city_number_of_relevant_children_5_to_17_years_old_in_poverty_who_are_related_to_the_householder,Perct_of_City_School_Children_in_Poverty,SNAP_Recipients_July_18,Perct_SNAP_Recipients_July_18,SNAP_Recipients_July_17,Perct_SNAP_Recipients_July_17,Total_Public_School_Expediture,Prct_of_US_Total_School_Expenditure_,Public_School_Total_Salary_Expenses,Public_School_Teacher_Salary_Expenses,Total_Public_School_Reveune,Federal_Public_School_Revenue,State_Public_School_Revenue,Local_Public_School_Revenue,Public_School_Revenue_Per_Pupil,firms,estabs,emp,denom,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,job_creation,job_creation_births,job_creation_continuers,job_creation_rate_births,job_creation_rate,job_destruction,job_destruction_deaths,job_destruction_continuers,job_destruction_rate_deaths,job_destruction_rate,net_job_creation,net_job_creation_rate,reallocation_rate,firmdeath_firms,firmdeath_estabs,firmdeath_emp,"Poverty_Universe,_All_Ages","Poverty_Universe,_Age_5-17_related","Poverty_Universe,_Age_0-17",Fam_Income_25_to_50K,Fam_Income_50_to_100K,Fam_Income_Over_100k,Fam_Income_Under_25k,Homeowners,Renters,Ave_Family_Income,Own_A_Business,Wage_Based_Salary,Welfare,Public_Housing,WIC_Benefits,Average_Childcare_Expense,Heathcare_ID,Heart_Disease_Age_35_to_64,Heart_Disease_Age_65_Up,Stroke_Age_35_to_64,Stroke_Age_65_Up,No_Health_Insurnace,Binge_Drinkers,High_Blood_Pressure,Cancer,Routine_Doctor_Checkups,COPD,Smokers,Regular_Dental_Cleanings,Diabetes,Leisure_Time_Exercise,Poor_Mental_Health,Obesity,Poor_Physical_Health,Lack_of_Sleep
Boston,Massachusetts,I,MA,Suffolk County,"Suffolk County, MA",Boston City Schools,687699,74147,19777,0.266726907,128967,0.187534081,132874,0.193215346,1273247,0.002022247,781563,844610,1611738,81913,384772,1145053,30604.16983,26318,32521,528193,527109,3165,9.771,2906,8.971,68325,22258,46067,4.223,12.962,66429,22987,43442,4.361,12.603,1896,0.36,25.205,1877,1920,12480,772365,139645,198890,0.194444444,0.290123457,0.327160494,0.188271605,0.614730878,0.385269122,75392.82116,0.057934509,0.629722922,0.027707809,0.01511335,0.01511335,533.7556675,49035,34.8,383.8,10.3,179.9,16.4,21.5,31.5,5,69.4,5.8,17.6,57.5,10.9,26.4,12.2,33,12.4,36
Baltimore,Maryland,S,MD,Baltimore County,"Baltimore County, MD",Baltimore County,593490,83117,25540,0.307277693,90214,0.152005931,91757,0.154605806,1600452,0.002541934,1193619,629614,1536343,154968,939957,441418,19063.45622,48389,61149,1195177,1185291,5372,8.787,5352,8.754,150722,45744,104978,3.859,12.716,131599,40694,90905,3.433,11.103,19123,1.613,22.205,3366,3432,20663,811466,128569,177716,0.235294118,0.25893887,0.249711649,0.256055363,0.447696477,0.552303523,74318.92749,0.106320431,0.662420382,0.024007839,0.026457619,0.047035767,363.5301323,53033,142.9,1509.7,44.7,667.8,16.1,19.5,38,5.2,72.1,6.8,20.6,56.4,13,26.8,13.3,33.8,12.7,40.7
Washington,Maryland,I,MD,Washington County,"Washington County, MD",District Of Columbia Public Schools,151049,24216,3662,0.151222332,21945,0.145283981,22573,0.149441572,1097091,0.001742466,724055,689845,1507836,136050,0,1371786,31280,37831,48821,978800,963675,4714,9.656,4707,9.642,140555,42092,98463,4.368,14.585,109819,38629,71190,4.009,11.396,30736,3.189,22.792,2932,3032,17900,687745,115553,161943,0.239554318,0.292479109,0.158774373,0.309192201,0.609336609,0.390663391,49309.21457,0.047244094,0.531496063,0.005905512,0.047244094,0.013779528,263.4232283,37119,63.9,733.9,13.2,266.7,9.8,22.8,25.1,4.5,74.5,5.1,16.4,66.6,8.4,19.9,13.9,22.9,10.5,35.5
Detroit,Michigan,S,MI,Wayne County,"Wayne County, MI",Detroit Public Schools Community District,686187,121583,49952,0.410846911,397846,0.579792389,424924,0.619253935,661647,0.001050868,293308,358117,736965,171621,485387,79957,14558.48363,440499,514888,8590823,8526145,53542,10.424,51004,9.93,1186288,376064,810224,4.411,13.914,1056152,369924,686228,4.339,12.387,130136,1.526,24.774,36464,36936,205891,1614170,156277,234889,0.226876091,0.312390925,0.272251309,0.188481675,0.592592593,0.407407407,80386.56764,0.09623431,0.642956764,0.008368201,0.018131102,0.019525802,475.3110181,22071,110,893.8,21.1,269.6,12.8,16.8,38.1,5.5,76.5,7.2,21.9,55,13.2,28.6,13.9,35.3,12.3,43
Kansas City,Missouri,S,MO,Jackson County,"Jackson County, MO",Kansas City 33,202478,29943,8534,0.285008182,94585,0.46713717,100564,0.496666304,212122,0.000336905,500000,108094,247202,33024,13727,200451,16083,31543,42316,915576,911227,4485,10.678,3860,9.19,132771,44449,88322,4.878,14.571,125908,33290,92618,3.653,13.817,6863,0.753,27.635,2427,2473,16825,1914735,358784,498935,0.181954887,0.303759398,0.377443609,0.136842105,0.592489569,0.407510431,92994.63379,0.085080148,0.669543773,0.006165228,0.033292232,0.035758323,477.108508,25025,56.8,451.8,18.8,265.5,19.5,14.8,46.6,5.8,77.2,11.3,28.3,50.7,17.7,35.7,18,47,19.3,49.8
St. Louis,Missouri,S,MO,St. Louis County,"St. Louis County, MO",St Louis City Bd Of Education,300576,38087,10781,0.283062462,98415,0.327421351,101630,0.338117481,337998,0.000536829,169086,187241,401826,54418,51869,295539,17492,50897,63057,1054407,1036602,6704,10.739,5448,8.727,145525,40245,105280,3.882,14.039,109985,34125,75860,3.292,10.61,35540,3.429,21.22,3651,3701,17066,792245,106272,151189,0.20802005,0.363408521,0.280701754,0.147869674,0.717948718,0.282051282,90384.70807,0.105590062,0.703933747,0.008281573,0.016563147,0.002070393,374.1987578,6075,167.3,1537.8,41.4,600.4,16.4,18.5,33.4,5.7,71.1,7.3,22.3,59.2,11.4,24.9,14,33,13.8,38.4
Charlotte,North Carolina,S,NC,Mecklenburg County,"Mecklenburg County, NC",Charlotte-Mecklenburg Schools,1110356,184970,23605,0.127615289,116395,0.10482674,130697,0.117707294,1381814,0.00219468,872326,932061,1498437,148357,848938,501142,10149.88045,37466,47162,842482,837811,5965,12.798,4858,10.423,127239,46129,81110,5.506,15.187,118800,37287,81513,4.451,14.18,8439,1.007,28.36,3108,3156,20817,1204389,189269,268136,0.181818182,0.264705882,0.430481283,0.122994652,0.530864198,0.469135802,110029.8253,0.109473684,0.589473684,0.014736842,0.04,0.012631579,611.5115789,29189,30.3,322.6,16,263.3,17.9,18.6,34,5.5,73.7,7.8,24.9,54.6,13,28.8,15.5,36.7,15.4,37.7
Raleigh,North Carolina,I,NC,Wake County,"Wake County, NC",Wake County Schools,1111761,195470,15725,0.080447127,69550,0.06255841,77799,0.06997817,1436207,0.00228107,944405,1001050,1487989,102408,908023,477558,9218.291754,53575,69300,1284087,1270418,7157,10.354,6797,9.834,171490,56714,114776,4.464,13.499,144670,47965,96705,3.776,11.388,26820,2.111,22.775,4339,4438,19599,976021,158311,216288,0.184475806,0.287298387,0.347782258,0.180443548,0.536044362,0.463955638,77138.82615,0.060070671,0.537809187,0.009893993,0.038869258,0.012014134,500.0812721,55079,32.6,381.2,12,299.8,17.2,17.6,30.5,5,74.1,5.2,17.1,66.2,9.1,19.1,11.9,29.1,10.3,33.4
Las Vegas,Nevada,I,NV,Clark County,"Clark County, NV",Clark County School District,2266715,381325,66015,0.173120042,344110,0.151809998,352026,0.155302277,2955544,0.004694173,1756073,1933838,3508225,301545,1089847,2116833,10654.90996,18847,24220,468873,460624,2070,8.574,1918,7.944,69735,16334,53401,3.546,15.139,52855,18770,34085,4.075,11.475,16880,3.665,22.949,1237,1262,7935,643726,107350,148690,0.241877256,0.319494585,0.222021661,0.216606498,0.578861789,0.421138211,65949.82865,0.077247191,0.606741573,0.007022472,0.009831461,0.011235955,498.622191,24005,62.8,701.5,17.7,245.1,18.7,23.7,22,3.2,68.8,4.2,19.5,67.1,5.8,19.4,13.8,24.8,8.7,37
Buffalo,New York,S,NY,Erie County,"Erie County, NY",Buffalo City School District,261225,39847,15175,0.380831681,142674,0.54617284,147511,0.564689444,735880,0.001168769,363097,475449,1037204,97460,813461,126283,30513,105153,134820,2675018,2657984,12045,8.941,11828,8.78,339178,96335,242843,3.624,12.761,303851,95588,208263,3.596,11.432,35327,1.329,22.863,7543,7680,40823,1531792,235072,338928,0.299528302,0.299528302,0.16745283,0.233490566,0.617391304,0.382608696,56351.04417,0.075971731,0.575971731,0.005300353,0.024734982,0.008833922,135.3321555,6085,59.5,661.9,14.4,236.1,15.6,17.7,26.8,4.8,72.7,4.6,15.6,66.8,7.8,17.9,12.2,27.9,9.2,33.1
